32.00,37.00,33.00,37.00,28.00,34.00,21.00,20.00,26.00,30.00
32.00,33.00,30.00,27.00,25.00,25.00,26.00,27.00,26.00,26.00
33.00,23.00,22.00,23.00,35.00,32.00,27.00,27.00,26.00,31.00
35.00,34.00,23.00,23.00,22.00,20.00,22.00,25.00,324.00,264.00
318.00,777.00,1633.00,2766.00,2812.00,2302.00,1387.00,733.00,377.00,304.00
340.00,913.00,2066.00,3328.00,3342.00,2582.00,1307.00,867.00,383.00,266.00
310.00,908.00,1942.00,3086.00,3604.00,3050.00,1604.00,914.00,367.00,227.00
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
