202.00,208.00,187.00,170.00,151.00,188.00,213.00,252.00,199.00,217.00
210.00,246.00,41.00,33.00,22.00,29.00,33.00,18.00,20.00,25.00
21.00,32.00,22.00,17.00,26.00,42.00,39.00,18.00,25.00,25.00
25.00,24.00,19.00,28.00,45.00,90.00,263.00,57.00,21.00,21.00
24.00,23.00,14.00,372.00,1223.00,1337.00,5921.00,2219.00,90.00,50.00
32.00,30.00,33.00,126.00,969.00,797.00,7654.00,9364.00,164.00,64.00
40.00,41.00,23.00,42.00,81.00,337.00,1191.00,410.00,239.00,48.00
43.00,40.00,22.00,22.00,56.00,140.00,143.00,233.00,87.00,31.00
17.00,25.00,27.00,24.00,30.00,41.00,70.00,42.00,41.00,32.00
21.00,27.00,33.00,32.00,24.00,34.00,24.00,23.00,29.00,32.00
