1334.00,1484.00,1226.00,1366.00,1395.00,1726.00,1530.00,1781.00,1849.00,1737.00
1259.00,1551.00,1429.00,1621.00,1635.00,1768.00,1639.00,1720.00,1989.00,1829.00
1383.00,1555.00,1650.00,1558.00,1687.00,1598.00,1861.00,1765.00,1849.00,1558.00
1405.00,1518.00,1552.00,1532.00,1608.00,1702.00,1712.00,1998.00,1780.00,1567.00
1196.00,1354.00,1605.00,1543.00,1817.00,1604.00,1535.00,1758.00,1974.00,1961.00
1389.00,1309.00,1626.00,1699.00,1575.00,1771.00,1685.00,1724.00,2095.00,1948.00
1281.00,1498.00,1653.00,1453.00,1689.00,1749.00,1667.00,1778.00,1859.00,2040.00
1485.00,1922.00,1727.00,1691.00,1976.00,1745.00,1720.00,1912.00,2235.00,2230.00
1542.00,1740.00,1765.00,2114.00,1849.00,2069.00,2314.00,2100.00,1975.00,2164.00
1684.00,1988.00,1989.00,1910.00,2063.00,2080.00,2260.00,2319.00,2243.00,2173.00
