127.00,146.00,182.00,184.00,194.00,247.00,182.00,218.00,182.00,149.00
120.00,151.00,205.00,374.00,504.00,556.00,451.00,296.00,257.00,145.00
129.00,220.00,402.00,796.00,1170.00,1105.00,898.00,589.00,347.00,222.00
162.00,286.00,646.00,1123.00,1569.00,1695.00,1342.00,824.00,573.00,282.00
180.00,317.00,874.00,1429.00,1838.00,1958.00,1651.00,1150.00,693.00,352.00
202.00,400.00,989.00,1625.00,2333.00,2506.00,2100.00,1316.00,834.00,366.00
233.00,447.00,848.00,1499.00,2627.00,2857.00,2314.00,1466.00,795.00,353.00
191.00,393.00,809.00,1417.00,2503.00,2943.00,2551.00,1350.00,692.00,276.00
198.00,255.00,533.00,1169.00,1763.00,2216.00,1915.00,1058.00,487.00,259.00
165.00,242.00,323.00,580.00,1058.00,1250.00,1086.00,531.00,286.00,228.00
