0.000000000000000000e+00 1.600000000000000000e+01 1.900000000000000000e+01 1.200000000000000000e+01 1.900000000000000000e+01 1.400000000000000000e+01 1.900000000000000000e+01 1.000000000000000000e+01 1.700000000000000000e+01 1.000000000000000000e+01 1.600000000000000000e+01 6.000000000000000000e+00 1.400000000000000000e+01 1.200000000000000000e+01 1.600000000000000000e+01 1.200000000000000000e+01 2.300000000000000000e+01 1.400000000000000000e+01 1.200000000000000000e+01 1.600000000000000000e+01
1.200000000000000000e+01 1.600000000000000000e+01 1.100000000000000000e+01 9.000000000000000000e+00 5.000000000000000000e+00 1.100000000000000000e+01 1.300000000000000000e+01 4.000000000000000000e+00 2.000000000000000000e+01 7.000000000000000000e+00 3.000000000000000000e+00 1.400000000000000000e+01 1.000000000000000000e+01 1.300000000000000000e+01 1.000000000000000000e+01 1.100000000000000000e+01 6.000000000000000000e+00 1.200000000000000000e+01 8.000000000000000000e+00 1.500000000000000000e+01
1.100000000000000000e+01 8.000000000000000000e+00 1.000000000000000000e+01 2.000000000000000000e+01 8.000000000000000000e+00 1.400000000000000000e+01 7.000000000000000000e+00 1.600000000000000000e+01 1.200000000000000000e+01 1.200000000000000000e+01 7.000000000000000000e+00 1.200000000000000000e+01 9.000000000000000000e+00 1.400000000000000000e+01 9.000000000000000000e+00 1.200000000000000000e+01 1.300000000000000000e+01 1.400000000000000000e+01 1.100000000000000000e+01 1.400000000000000000e+01
8.000000000000000000e+00 1.100000000000000000e+01 1.000000000000000000e+01 1.200000000000000000e+01 9.000000000000000000e+00 1.500000000000000000e+01 9.400000000000000000e+01 6.800000000000000000e+01 9.000000000000000000e+00 1.200000000000000000e+01 1.200000000000000000e+01 1.300000000000000000e+01 9.000000000000000000e+00 2.000000000000000000e+01 1.300000000000000000e+01 2.300000000000000000e+01 8.000000000000000000e+00 1.700000000000000000e+01 9.000000000000000000e+00 7.000000000000000000e+00
4.000000000000000000e+00 9.000000000000000000e+00 1.400000000000000000e+01 8.000000000000000000e+00 6.000000000000000000e+00 1.400000000000000000e+01 1.700000000000000000e+01 1.500000000000000000e+01 3.600000000000000000e+01 3.100000000000000000e+01 7.000000000000000000e+00 1.000000000000000000e+01 1.000000000000000000e+01 6.000000000000000000e+00 6.000000000000000000e+00 1.300000000000000000e+01 6.000000000000000000e+00 1.100000000000000000e+01 1.100000000000000000e+01 1.200000000000000000e+01
6.000000000000000000e+00 5.000000000000000000e+00 1.700000000000000000e+01 1.500000000000000000e+01 8.000000000000000000e+00 9.000000000000000000e+00 7.000000000000000000e+00 7.000000000000000000e+00 8.000000000000000000e+00 1.100000000000000000e+01 1.400000000000000000e+01 7.000000000000000000e+00 1.100000000000000000e+01 1.100000000000000000e+01 7.000000000000000000e+00 1.600000000000000000e+01 1.400000000000000000e+01 1.000000000000000000e+01 8.000000000000000000e+00 1.000000000000000000e+01
5.000000000000000000e+00 8.000000000000000000e+00 1.500000000000000000e+01 9.000000000000000000e+00 1.100000000000000000e+01 9.000000000000000000e+00 1.200000000000000000e+01 7.000000000000000000e+00 1.200000000000000000e+01 9.000000000000000000e+00 1.000000000000000000e+01 8.000000000000000000e+00 1.100000000000000000e+01 2.200000000000000000e+01 1.300000000000000000e+01 7.000000000000000000e+00 1.000000000000000000e+01 1.500000000000000000e+01 1.500000000000000000e+01 1.200000000000000000e+01
9.000000000000000000e+00 1.800000000000000000e+01 7.000000000000000000e+00 2.400000000000000000e+01 5.180000000000000000e+02 1.973000000000000000e+03 3.100000000000000000e+02 1.730000000000000000e+02 5.400000000000000000e+01 2.600000000000000000e+01 2.000000000000000000e+01 1.400000000000000000e+01 7.000000000000000000e+00 1.400000000000000000e+01 7.000000000000000000e+00 1.700000000000000000e+01 1.800000000000000000e+01 1.200000000000000000e+01 1.300000000000000000e+01 2.200000000000000000e+01
1.410000000000000000e+02 9.720000000000000000e+02 3.510000000000000000e+02 2.900000000000000000e+01 1.300000000000000000e+01 1.600000000000000000e+01 1.900000000000000000e+01 2.800000000000000000e+01 2.800000000000000000e+01 3.300000000000000000e+01 2.200000000000000000e+01 4.100000000000000000e+01 2.800000000000000000e+01 4.800000000000000000e+01 2.900000000000000000e+01 6.600000000000000000e+01 9.700000000000000000e+01 2.140000000000000000e+02 5.400000000000000000e+01 2.500000000000000000e+01
1.700000000000000000e+01 1.600000000000000000e+01 1.300000000000000000e+01 1.600000000000000000e+01 1.400000000000000000e+01 1.800000000000000000e+01 1.100000000000000000e+01 1.300000000000000000e+01 3.000000000000000000e+01 4.100000000000000000e+01 7.800000000000000000e+01 2.000000000000000000e+01 2.800000000000000000e+01 1.800000000000000000e+01 1.000000000000000000e+01 1.500000000000000000e+01 1.700000000000000000e+01 1.400000000000000000e+01 1.800000000000000000e+01 1.300000000000000000e+01
