1.342200000000000000e+04 1.869800000000000000e+04 1.244200000000000000e+04 1.632400000000000000e+04 2.492700000000000000e+04 2.556000000000000000e+04 2.664600000000000000e+04 1.740200000000000000e+04 1.700500000000000000e+04 1.874600000000000000e+04 3.072200000000000000e+04 3.855700000000000000e+04 3.691000000000000000e+04 3.450200000000000000e+04 2.968200000000000000e+04 4.361500000000000000e+04 4.369200000000000000e+04 4.315100000000000000e+04 4.488900000000000000e+04 3.957400000000000000e+04 4.274000000000000000e+04 3.853900000000000000e+04 3.875200000000000000e+04 2.632600000000000000e+04 3.114400000000000000e+04 3.026300000000000000e+04 3.412400000000000000e+04 2.291400000000000000e+04 2.738400000000000000e+04 3.588000000000000000e+04
2.730800000000000000e+04 3.209100000000000000e+04 2.991400000000000000e+04 2.896600000000000000e+04 1.324000000000000000e+04 3.526600000000000000e+04 3.767000000000000000e+04 3.874600000000000000e+04 3.409700000000000000e+04 3.749200000000000000e+04 3.844900000000000000e+04 4.892400000000000000e+04 3.927100000000000000e+04 3.794100000000000000e+04 3.757000000000000000e+04 2.896400000000000000e+04 2.445400000000000000e+04 2.230800000000000000e+04 2.000600000000000000e+04 1.794000000000000000e+04 1.760400000000000000e+04 1.757600000000000000e+04 1.666900000000000000e+04 1.793000000000000000e+04 6.389000000000000000e+03 1.398400000000000000e+04 1.315300000000000000e+04 1.349000000000000000e+04 1.869400000000000000e+04 1.829300000000000000e+04
1.698400000000000000e+04 1.342200000000000000e+04 1.504900000000000000e+04 1.398000000000000000e+04 1.290700000000000000e+04 1.130700000000000000e+04 1.182200000000000000e+04 1.411300000000000000e+04 1.696700000000000000e+04 1.516500000000000000e+04 1.502200000000000000e+04 1.675800000000000000e+04 2.026900000000000000e+04 2.144900000000000000e+04 2.294900000000000000e+04 2.631500000000000000e+04 2.772000000000000000e+04 2.786000000000000000e+04 2.739700000000000000e+04 2.761600000000000000e+04 2.549800000000000000e+04 2.107200000000000000e+04 2.460100000000000000e+04 1.998900000000000000e+04 2.145400000000000000e+04 2.386300000000000000e+04 2.438600000000000000e+04 2.837800000000000000e+04 3.081000000000000000e+04 3.440900000000000000e+04
2.799800000000000000e+04 3.972400000000000000e+04 3.174200000000000000e+04 3.207900000000000000e+04 1.193000000000000000e+04 3.136800000000000000e+04 3.225100000000000000e+04 3.255600000000000000e+04 2.914800000000000000e+04 2.855100000000000000e+04 2.889200000000000000e+04 3.607200000000000000e+04 3.253300000000000000e+04 3.152900000000000000e+04 2.898900000000000000e+04 3.122600000000000000e+04 2.479900000000000000e+04 2.130500000000000000e+04 1.912000000000000000e+04 2.094900000000000000e+04 1.484800000000000000e+04 1.992600000000000000e+04 1.706700000000000000e+04 1.662300000000000000e+04 1.580000000000000000e+04 2.298700000000000000e+04 2.350800000000000000e+04 2.446900000000000000e+04 2.828900000000000000e+04 2.641000000000000000e+04
3.122400000000000000e+04 3.162400000000000000e+04 2.799400000000000000e+04 1.660900000000000000e+04 1.430000000000000000e+04 1.110700000000000000e+04 1.312700000000000000e+04 1.039900000000000000e+04 1.539000000000000000e+04 1.511600000000000000e+04 1.936200000000000000e+04 1.843000000000000000e+04 2.673000000000000000e+04 2.898900000000000000e+04 2.340200000000000000e+04 3.047900000000000000e+04 2.529200000000000000e+04 2.898900000000000000e+04 2.230500000000000000e+04 2.724900000000000000e+04 2.424000000000000000e+04 3.064600000000000000e+04 3.114400000000000000e+04 3.362900000000000000e+04 2.180300000000000000e+04 3.377800000000000000e+04 2.877300000000000000e+04 4.763700000000000000e+04 3.081400000000000000e+04 4.544800000000000000e+04
4.151300000000000000e+04 5.643000000000000000e+04 4.092100000000000000e+04 2.997900000000000000e+04 2.616500000000000000e+04 3.050700000000000000e+04 3.112400000000000000e+04 3.653300000000000000e+04 2.903600000000000000e+04 3.240800000000000000e+04 2.729300000000000000e+04 3.522000000000000000e+04 4.002900000000000000e+04 3.749700000000000000e+04 3.698300000000000000e+04 3.930100000000000000e+04 3.519700000000000000e+04 2.691000000000000000e+04 2.537600000000000000e+04 2.967700000000000000e+04 2.408800000000000000e+04 2.468800000000000000e+04 2.314100000000000000e+04 2.386200000000000000e+04 9.548000000000000000e+03 2.935800000000000000e+04 3.548800000000000000e+04 5.901100000000000000e+04 9.434700000000000000e+04 1.215370000000000000e+05
1.520350000000000000e+05 1.615390000000000000e+05 1.191230000000000000e+05 5.803200000000000000e+04 5.346600000000000000e+04 4.595600000000000000e+04 5.578400000000000000e+04 5.229800000000000000e+04 2.895700000000000000e+04 3.026100000000000000e+04 1.863400000000000000e+04 2.815900000000000000e+04 4.467400000000000000e+04 3.050200000000000000e+04 3.744800000000000000e+04 4.244100000000000000e+04 2.997200000000000000e+04 3.684200000000000000e+04 2.163700000000000000e+04 3.126800000000000000e+04 2.289100000000000000e+04 3.281100000000000000e+04 2.755200000000000000e+04 3.192400000000000000e+04 2.263000000000000000e+04 3.359200000000000000e+04 2.675800000000000000e+04 4.552700000000000000e+04 2.646800000000000000e+04 2.705300000000000000e+04
2.341900000000000000e+04 3.327300000000000000e+04 2.937400000000000000e+04 2.757400000000000000e+04 2.883900000000000000e+04 3.524600000000000000e+04 3.683100000000000000e+04 3.706100000000000000e+04 3.153500000000000000e+04 2.942800000000000000e+04 2.587900000000000000e+04 2.675900000000000000e+04 3.051200000000000000e+04 3.550700000000000000e+04 3.273300000000000000e+04 3.254100000000000000e+04 3.183300000000000000e+04 2.602000000000000000e+04 2.637800000000000000e+04 4.038100000000000000e+04 7.358000000000000000e+04 1.609040000000000000e+05 2.244640000000000000e+05 1.362400000000000000e+05 1.132800000000000000e+05 1.367420000000000000e+05 1.865970000000000000e+05 2.265150000000000000e+05 2.698820000000000000e+05 4.683200000000000000e+05
5.062680000000000000e+05 4.395990000000000000e+05 3.157710000000000000e+05 2.811350000000000000e+05 2.814420000000000000e+05 2.451500000000000000e+05 4.052300000000000000e+05 4.806810000000000000e+05 2.351940000000000000e+05 8.184900000000000000e+04 3.754600000000000000e+04 3.044500000000000000e+04 3.514900000000000000e+04 3.948000000000000000e+04 3.778800000000000000e+04 3.405200000000000000e+04 3.115600000000000000e+04 2.755400000000000000e+04 2.517200000000000000e+04 2.819200000000000000e+04 3.192800000000000000e+04 3.321000000000000000e+04 3.549300000000000000e+04 3.318100000000000000e+04 3.076200000000000000e+04 2.964800000000000000e+04 2.777600000000000000e+04 2.596800000000000000e+04 2.209800000000000000e+04 2.938800000000000000e+04
2.191400000000000000e+04 2.584600000000000000e+04 3.883300000000000000e+04 3.889900000000000000e+04 1.653100000000000000e+04 3.997000000000000000e+04 4.073800000000000000e+04 4.785400000000000000e+04 2.807000000000000000e+04 2.614500000000000000e+04 2.552600000000000000e+04 3.069100000000000000e+04 3.916200000000000000e+04 3.823600000000000000e+04 4.108200000000000000e+04 4.291100000000000000e+04 3.505800000000000000e+04 2.862700000000000000e+04 4.489600000000000000e+04 9.263000000000000000e+04 2.714840000000000000e+05 2.741650000000000000e+05 2.405350000000000000e+05 4.147620000000000000e+05 1.657830000000000000e+05 3.823360000000000000e+05 3.308790000000000000e+05 2.633810000000000000e+05 1.990630000000000000e+05 2.606900000000000000e+05
