4.258400000000000000e+04 4.258400000000000000e+04 4.156200000000000000e+04 4.492300000000000000e+04 4.090700000000000000e+04 4.318700000000000000e+04 5.292800000000000000e+04 7.103000000000000000e+04 5.824400000000000000e+04 4.975900000000000000e+04
4.546100000000000000e+04 4.402000000000000000e+04 4.214100000000000000e+04 3.946200000000000000e+04 5.125200000000000000e+04 4.487100000000000000e+04 4.258500000000000000e+04 4.183300000000000000e+04 4.789600000000000000e+04 5.265100000000000000e+04
4.892500000000000000e+04 4.800000000000000000e+04 5.446100000000000000e+04 4.761900000000000000e+04 4.859000000000000000e+04 4.928400000000000000e+04 4.873400000000000000e+04 4.428300000000000000e+04 4.622600000000000000e+04 4.529800000000000000e+04
4.495700000000000000e+04 4.308600000000000000e+04 4.101600000000000000e+04 5.252500000000000000e+04 4.809500000000000000e+04 5.167700000000000000e+04 5.328500000000000000e+04 4.730300000000000000e+04 4.466000000000000000e+04 4.368000000000000000e+04
4.237000000000000000e+04 4.502800000000000000e+04 6.044100000000000000e+04 5.651400000000000000e+04 4.630200000000000000e+04 4.249700000000000000e+04 4.275300000000000000e+04 4.476000000000000000e+04 4.359400000000000000e+04 4.764200000000000000e+04
4.776000000000000000e+04 4.988300000000000000e+04 5.045600000000000000e+04 4.688800000000000000e+04 4.807100000000000000e+04 5.578800000000000000e+04 5.147200000000000000e+04 4.622900000000000000e+04 4.617900000000000000e+04 4.762100000000000000e+04
4.172000000000000000e+04 4.097200000000000000e+04 4.224800000000000000e+04 4.314100000000000000e+04 4.510600000000000000e+04 5.339900000000000000e+04 4.632500000000000000e+04 4.551900000000000000e+04 4.996500000000000000e+04 4.527500000000000000e+04
4.403800000000000000e+04 4.083600000000000000e+04 5.490700000000000000e+04 6.360700000000000000e+04 4.986600000000000000e+04 4.472600000000000000e+04 3.843000000000000000e+04 3.790400000000000000e+04 4.228700000000000000e+04 4.390200000000000000e+04
4.656800000000000000e+04 4.769100000000000000e+04 4.667400000000000000e+04 4.851600000000000000e+04 4.648100000000000000e+04 4.951100000000000000e+04 4.702700000000000000e+04 5.808600000000000000e+04 5.091500000000000000e+04 5.514400000000000000e+04
7.005300000000000000e+04 5.732100000000000000e+04 4.436500000000000000e+04 4.452000000000000000e+04 4.592300000000000000e+04 4.434100000000000000e+04 4.694000000000000000e+04 6.393600000000000000e+04 6.287400000000000000e+04 6.699060000000000000e+05
